Estimate,Std. Error,z value,Pr(>|z|),model,prompt,vignette,predictor
-1.02463964455827,0.36021044246785466,-2.844558412960805,0.004447303062141443,llama,baseline,1,(Intercept)
-0.16041486729988355,0.127499569411665,-1.2581600709720289,0.20833387211846258,llama,baseline,1,threatening_z
-0.08643886526156239,0.13350789576860508,-0.6474438441556865,0.5173447276226347,llama,baseline,1,trustworthy_z
0.06748395606682508,0.11048266192275787,0.6108103741563122,0.5413251246504109,llama,baseline,1,attractive_z
0.1025071950428679,0.09081455750400276,1.1287528988769204,0.2590020871623485,llama,baseline,1,prototypic_z
0.09748504212294168,0.23637932360441924,0.41240934543870206,0.6800394144656617,llama,baseline,1,race_ambiguity_z
-0.015851043941103565,0.07898585949062213,-0.20068204667679201,0.8409471988033206,llama,baseline,1,age_rated_z
0.014593866976136103,0.19757007294750234,0.07386678943026931,0.9411163818264051,llama,baseline,1,luminance_z
0.31098625078032566,0.6053053315753911,0.5137675724265319,0.6074145022104872,llama,baseline,1,raceB
0.5029361720642187,0.44939658141745054,1.1191366219963177,0.26308185841174964,llama,baseline,1,raceI
0.061183839588937486,0.3827210557306334,0.15986536061397122,0.87298713574797,llama,baseline,1,raceL
0.3995596070215385,0.5900197487997919,0.6771970054126422,0.4982809675006096,llama,baseline,1,raceW
0.010850294259837683,0.17217454777716182,0.06301915352715638,0.9497512523259126,llama,baseline,1,genderM
-0.0445929072218421,0.3219586029898104,-0.13850509602084904,0.8898412423927046,llama,baseline,2,(Intercept)
0.15388511358662207,0.1179787803429521,1.3043456894476615,0.19211574375196844,llama,baseline,2,threatening_z
0.016197358451236526,0.12209307689112,0.1326640204643297,0.8944590987994726,llama,baseline,2,trustworthy_z
-0.08890516993034828,0.10139888415585818,-0.8767864722622976,0.3806026281354797,llama,baseline,2,attractive_z
-0.005507950312304115,0.08239514476187233,-0.06684799605877838,0.94670271350419,llama,baseline,2,prototypic_z
0.39694393850805537,0.2142791315605256,1.8524619528613966,0.06395951615674854,llama,baseline,2,race_ambiguity_z
-0.10861183098824516,0.07136814230325804,-1.5218531333873166,0.12804588456928342,llama,baseline,2,age_rated_z
-0.297355546142873,0.17930520081849521,-1.6583765824164594,0.09724148019936531,llama,baseline,2,luminance_z
-0.05058646003297775,0.5381493264796919,-0.09400078666620189,0.9251085318355228,llama,baseline,2,raceB
-0.5033999739946288,0.41083966788186116,-1.2252954457634888,0.22046392371132317,llama,baseline,2,raceI
0.678323935090885,0.3465100236375815,1.9575882047220405,0.05027835253645908,llama,baseline,2,raceL
0.9335000751749946,0.536156285947098,1.7410969518449368,0.08166658557885312,llama,baseline,2,raceW
-0.05908100381823708,0.1563887347153677,-0.3777829900968655,0.7055918108724935,llama,baseline,2,genderM
1.252635855156144,0.36721455355646504,3.411182489975936,0.0006468178502195217,llama,baseline,3,(Intercept)
0.1536583377982056,0.12717804387971984,1.2082143513980275,0.22696482291300707,llama,baseline,3,threatening_z
-0.11684587879123721,0.12940548261446452,-0.9029438044704341,0.36655572052546176,llama,baseline,3,trustworthy_z
0.03430334635880367,0.1078369848320866,0.31810372306141116,0.750406259613005,llama,baseline,3,attractive_z
-0.09801854322215828,0.08968978307083081,-1.0928618608069325,0.2744544559242006,llama,baseline,3,prototypic_z
-0.37313393700679354,0.23192437009798403,-1.6088604093185677,0.10764686811671076,llama,baseline,3,race_ambiguity_z
-0.06727074180526915,0.07594101601696701,-0.8858288357669495,0.37570976869146455,llama,baseline,3,age_rated_z
0.0678729782106244,0.19784723318347194,0.3430575051190277,0.7315551992971964,llama,baseline,3,luminance_z
-0.8003948677939242,0.6203811307697484,-1.2901663640233878,0.1969929019609292,llama,baseline,3,raceB
-0.39098204487172983,0.45143223865762905,-0.8660924306920285,0.3864394757897202,llama,baseline,3,raceI
-0.7306610025048005,0.37800256375358077,-1.932952505002366,0.053242048929102566,llama,baseline,3,raceL
-0.9080786337753024,0.5844900135476403,-1.5536255756768156,0.12027375501688464,llama,baseline,3,raceW
0.1745546120428742,0.16851395443117267,1.0358466314086099,0.3002736987918828,llama,baseline,3,genderM
1.5418007133145988,0.47056372669548996,3.276497158295257,0.0010510337036664429,llama,baseline,4,(Intercept)
0.1611734374565066,0.1643975378843935,0.980388389817893,0.3268944385551608,llama,baseline,4,threatening_z
0.05207885918631651,0.16865315107329998,0.30879268400791404,0.7574792346806651,llama,baseline,4,trustworthy_z
0.03076341771164712,0.14431247515225487,0.21317226857338983,0.8311925976085216,llama,baseline,4,attractive_z
0.012128728353013808,0.11907463180537282,0.10185820580859055,0.9188692242922927,llama,baseline,4,prototypic_z
0.2233928144437419,0.29767066621435007,0.7504696962074142,0.4529718683651669,llama,baseline,4,race_ambiguity_z
-0.15732295718277572,0.09100979946384884,-1.7286375545225543,0.08387398391114806,llama,baseline,4,age_rated_z
-0.043880187340060245,0.2638198625888377,-0.16632632171614523,0.8679001528102466,llama,baseline,4,luminance_z
0.35362235650024376,0.8160268656475911,0.4333464636848843,0.6647630876390949,llama,baseline,4,raceB
-0.9094676844696323,0.5817242413457465,-1.563400009540074,0.11795853792166108,llama,baseline,4,raceI
0.1882748297165783,0.494100795258154,0.3810453889640269,0.703169569065905,llama,baseline,4,raceL
0.44470333442761656,0.7549877739768583,0.5890205772275823,0.5558474700410134,llama,baseline,4,raceW
0.3196405063218811,0.22355731023373615,1.4297922353229557,0.15277665828531406,llama,baseline,4,genderM
2.3967064750266336,0.515289065591961,4.651188303934436,3.3002780375584567e-06,llama,baseline,5,(Intercept)
0.1136462543687093,0.1775082554343007,0.6402308111848466,0.5220225544569392,llama,baseline,5,threatening_z
-0.19130717629520871,0.17275943211159298,-1.107361687619087,0.26813758337056764,llama,baseline,5,trustworthy_z
